left_descents,right_descents,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
3,3,45,6,13.3333333333,1.83333333333,1.16666666667,1.83333333333,4.16666666666,1.33333333333,C4,C,4,2
4,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C4,C,4,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C5,C,5,2
1,1,90,35,38.8888888889,11.3714285714,9.85714285714,10.8571428571,5.6,2.0,C5,C,5,2
1,2,126,78,61.9047619047,6.39743589744,6.05128205128,6.32051282052,4.89743589744,0.538461538462,C5,C,5,2
1,3,21,18,85.7142857143,4.05555555555,3.94444444445,4.05555555555,4.11111111111,0.222222222222,C5,C,5,2
2,1,126,78,61.9047619047,6.39743589744,6.05128205128,6.32051282052,4.89743589744,0.538461538462,C5,C,5,2
2,2,995,390,39.1959798995,4.41282051282,3.57179487179,4.28974358975,4.44358974359,1.48205128205,C5,C,5,2
2,3,540,227,42.037037037,3.23788546256,2.73127753304,3.20704845815,4.33920704846,0.951541850221,C5,C,5,2
2,4,21,11,52.3809523809,2.18181818182,2.09090909091,2.18181818182,4.09090909091,0.181818181818,C5,C,5,2
3,1,21,18,85.7142857143,4.05555555555,3.94444444445,4.05555555555,4.11111111111,0.222222222222,C5,C,5,2
3,2,540,227,42.037037037,3.23788546256,2.73127753304,3.20704845815,4.33920704846,0.951541850221,C5,C,5,2
3,3,995,280,28.1407035176,2.81428571428,1.92857142857,2.71785714286,4.41785714286,1.65714285714,C5,C,5,2
3,4,126,35,27.7777777778,2.17142857143,1.45714285714,2.11428571428,4.14285714286,1.31428571429,C5,C,5,2
4,2,21,11,52.3809523809,2.18181818182,2.09090909091,2.18181818182,4.09090909091,0.181818181818,C5,C,5,2
4,3,126,35,27.7777777778,2.17142857143,1.45714285714,2.11428571428,4.14285714286,1.31428571429,C5,C,5,2
4,4,90,11,12.2222222222,2.36363636364,1.18181818182,2.36363636364,5.09090909091,2.72727272727,C5,C,5,2
5,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C5,C,5,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,2
1,1,161,79,49.0683229814,65.7721518987,41.2025316456,50.4303797468,7.89873417722,23.1898734177,C6,C,6,2
1,2,393,267,67.9389312977,31.3595505618,24.0337078652,27.4569288389,7.23220973783,7.37827715356,C6,C,6,2
1,3,161,136,84.4720496894,18.1102941177,15.3823529412,16.9779411765,6.60294117647,3.19117647059,C6,C,6,2
1,4,7,7,100.0,10.7142857143,10.0,10.7142857143,6.42857142857,1.42857142857,C6,C,6,2
2,1,393,267,67.9389312977,31.3595505618,24.0337078652,27.4569288389,7.23220973783,7.37827715356,C6,C,6,2
2,2,4389,2249,51.2417407154,15.5504668742,11.443752779,14.0822587817,6.78301467319,5.99555357937,C6,C,6,2
2,3,4928,2618,53.125,9.57410236822,7.45530939649,9.0614973262,6.50305576776,3.40870893812,C6,C,6,2
2,4,826,484,58.5956416465,6.42148760331,5.47314049587,6.28099173554,6.30165289257,1.64049586777,C6,C,6,2
2,5,7,5,71.4285714285,3.8,3.8,3.8,6.0,0.0,C6,C,6,2
3,1,161,136,84.4720496894,18.1102941177,15.3823529412,16.9779411765,6.60294117647,3.19117647059,C6,C,6,2
3,2,4928,2618,53.125,9.57410236822,7.45530939649,9.0614973262,6.50305576776,3.40870893812,C6,C,6,2
3,3,13370,5606,41.9296933433,6.48769175883,4.48251872994,6.03710310382,6.10292543703,3.50588655012,C6,C,6,2
3,4,4928,1979,40.1582792208,4.54623547246,3.07124810511,4.28094997474,5.66397170288,2.6245578575,C6,C,6,2
3,5,161,67,41.6149068323,2.97014925373,2.20895522388,2.88059701493,4.97014925373,1.34328358209,C6,C,6,2
4,1,7,7,100.0,10.7142857143,10.0,10.7142857143,6.42857142857,1.42857142857,C6,C,6,2
4,2,826,484,58.5956416465,6.42148760331,5.47314049587,6.28099173554,6.30165289257,1.64049586777,C6,C,6,2
4,3,4928,1979,40.1582792208,4.54623547246,3.07124810511,4.28094997474,5.66397170288,2.6245578575,C6,C,6,2
4,4,4389,1224,27.8879015721,3.77941176471,2.14950980392,3.50653594771,5.63888888889,3.25816993464,C6,C,6,2
4,5,393,96,24.427480916,3.11458333333,1.71875,2.94791666667,5.72916666666,2.79166666667,C6,C,6,2
5,2,7,5,71.4285714285,3.8,3.8,3.8,6.0,0.0,C6,C,6,2
5,3,161,67,41.6149068323,2.97014925373,2.20895522388,2.88059701493,4.97014925373,1.34328358209,C6,C,6,2
5,4,393,96,24.427480916,3.11458333333,1.71875,2.94791666667,5.72916666666,2.79166666667,C6,C,6,2
5,5,161,19,11.801242236,3.15789473684,1.31578947369,3.05263157895,7.26315789474,4.52631578947,C6,C,6,2
6,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
1,1,161,14,8.69565217392,2.92857142857,2.85714285714,2.85714285714,10.4285714286,0.0,C6,C,6,3
1,2,393,19,4.83460559796,2.10526315789,2.05263157895,2.05263157895,9.36842105263,0.0,C6,C,6,3
1,3,161,4,2.48447204969,1.25,1.25,1.25,8.5,0.0,C6,C,6,3
1,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
2,1,393,19,4.83460559796,2.10526315789,2.05263157895,2.05263157895,9.36842105263,0.0,C6,C,6,3
2,2,4389,76,1.7316017316,1.59210526316,1.57894736842,1.57894736842,10.0263157895,0.0,C6,C,6,3
2,3,4928,30,0.608766233766,1.13333333333,1.13333333333,1.13333333333,9.46666666666,0.0,C6,C,6,3
2,4,826,1,0.121065375303,1.0,1.0,1.0,8.0,0.0,C6,C,6,3
2,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
3,1,161,4,2.48447204969,1.25,1.25,1.25,8.5,0.0,C6,C,6,3
3,2,4928,30,0.608766233766,1.13333333333,1.13333333333,1.13333333333,9.46666666666,0.0,C6,C,6,3
3,3,13370,14,0.104712041885,1.0,1.0,1.0,9.57142857143,0.0,C6,C,6,3
3,4,4928,1,0.0202922077922,1.0,1.0,1.0,8.0,0.0,C6,C,6,3
3,5,161,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
4,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
4,2,826,1,0.121065375303,1.0,1.0,1.0,8.0,0.0,C6,C,6,3
4,3,4928,1,0.0202922077922,1.0,1.0,1.0,8.0,0.0,C6,C,6,3
4,4,4389,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
4,5,393,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
5,2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
5,3,161,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
5,4,393,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
5,5,161,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
6,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
1,1,30,1,3.33333333333,1.0,1.0,1.0,4.0,0.0,D4,D,4,2
1,2,12,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
1,3,2,1,50.0,1.0,1.0,1.0,4.0,0.0,D4,D,4,2
2,1,12,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
2,2,78,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
2,3,12,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
3,1,2,1,50.0,1.0,1.0,1.0,4.0,0.0,D4,D,4,2
3,2,12,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
3,3,30,1,3.33333333333,1.0,1.0,1.0,4.0,0.0,D4,D,4,2
4,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D5,D,5,2
1,1,69,5,7.24637681159,3.2,3.2,3.2,5.6,0.0,D5,D,5,2
1,2,69,6,8.69565217392,1.5,1.5,1.5,4.33333333334,0.0,D5,D,5,2
1,3,18,8,44.4444444444,2.0,2.0,2.0,5.0,0.0,D5,D,5,2
1,4,1,1,100.0,1.0,1.0,1.0,4.0,0.0,D5,D,5,2
2,1,69,6,8.69565217392,1.5,1.5,1.5,4.33333333334,0.0,D5,D,5,2
2,2,486,5,1.02880658436,1.4,1.4,1.4,4.8,0.0,D5,D,5,2
2,3,229,8,3.49344978166,1.125,1.125,1.125,4.5,0.0,D5,D,5,2
2,4,18,4,22.2222222222,1.0,1.0,1.0,4.5,0.0,D5,D,5,2
3,1,18,8,44.4444444444,2.0,2.0,2.0,5.0,0.0,D5,D,5,2
3,2,229,8,3.49344978166,1.125,1.125,1.125,4.5,0.0,D5,D,5,2
3,3,486,13,2.67489711934,1.46153846154,1.46153846154,1.46153846154,4.61538461538,0.0,D5,D,5,2
3,4,69,3,4.34782608696,1.0,1.0,1.0,4.66666666666,0.0,D5,D,5,2
4,1,1,1,100.0,1.0,1.0,1.0,4.0,0.0,D5,D,5,2
4,2,18,4,22.2222222222,1.0,1.0,1.0,4.5,0.0,D5,D,5,2
4,3,69,3,4.34782608696,1.0,1.0,1.0,4.66666666666,0.0,D5,D,5,2
4,4,69,4,5.79710144927,1.0,1.0,1.0,4.5,0.0,D5,D,5,2
5,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D5,D,5,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,2
1,1,135,23,17.0370370371,13.2608695652,12.7826086956,13.1304347826,8.21739130435,0.695652173913,D6,D,6,2
1,2,262,48,18.320610687,6.5625,6.45833333334,6.5,6.66666666666,0.0833333333334,D6,D,6,2
1,3,117,49,41.8803418803,5.26530612245,5.14285714286,5.26530612245,6.51020408163,0.244897959184,D6,D,6,2
1,4,16,14,87.5,4.21428571428,4.21428571428,4.21428571428,6.14285714286,0.0,D6,D,6,2
2,1,262,48,18.320610687,6.5625,6.45833333334,6.5,6.66666666666,0.0833333333334,D6,D,6,2
2,2,2433,201,8.261405672,3.38805970149,3.3631840796,3.37313432836,6.46268656717,0.0199004975124,D6,D,6,2
2,3,2330,191,8.1974248927,2.44502617801,2.43455497382,2.44502617801,6.19371727749,0.020942408377,D6,D,6,2
2,4,510,123,24.1176470588,2.23577235772,2.21951219512,2.23577235772,5.83739837398,0.0325203252033,D6,D,6,2
2,5,16,9,56.25,1.55555555555,1.44444444445,1.55555555555,5.44444444445,0.222222222222,D6,D,6,2
