ell,total,changed,percentage_changed,avg_support_size,max_support_size,avg_signed_mass_at_one,max_signed_mass_at_one,avg_abs_mass_at_one,max_abs_mass_at_one,avg_monomial_complexity,max_monomial_complexity,avg_max_abs_degree,max_max_abs_degree,avg_max_bruhat_depth,max_max_bruhat_depth,avg_degree_zero_ratio,degree_zero_only,genuinely_graded,avg_avg_abs_degree,max_avg_abs_degree,avg_weighted_abs_degree_mass,max_weighted_abs_degree_mass,mild,moderate,wild,type,family,rank,prime
14,9,5,55.5555555556,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.8,4,1.0,5,0,0.0,0.0,0.0,0,5,0,0,B4,B,4,2
15,4,3,75.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,4.0,6,1.0,3,0,0.0,0.0,0.0,0,3,0,0,B4,B,4,2
16,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B4,B,4,2
0,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B5,B,5,2
1,5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B5,B,5,2
2,14,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B5,B,5,2
3,30,1,3.33333333333,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,1,0,0.0,0.0,0.0,0,1,0,0,B5,B,5,2
4,54,4,7.40740740741,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,4,0,0.0,0.0,0.0,0,4,0,0,B5,B,5,2
5,86,10,11.6279069767,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,10,0,0.0,0.0,0.0,0,10,0,0,B5,B,5,2
6,125,19,15.2,1.21052631579,4,1.21052631579,4,1.21052631579,4,1.21052631579,4,0.0,0,2.21052631579,4,1.0,19,0,0.0,0.0,0.0,0,17,2,0,B5,B,5,2
7,169,31,18.3431952663,1.41935483871,4,1.41935483871,4,1.41935483871,4,1.41935483871,4,0.0,0,2.45161290323,4,1.0,31,0,0.0,0.0,0.0,0,24,7,0,B5,B,5,2
8,215,45,20.9302325581,1.73333333333,6,1.73333333333,6,1.73333333333,6,1.73333333333,6,0.0,0,2.75555555556,6,1.0,45,0,0.0,0.0,0.0,0,31,12,2,B5,B,5,2
9,259,62,23.9382239382,1.96774193548,7,1.96774193548,7,1.96774193548,7,1.96774193548,7,0.0,0,3.0,6,1.0,62,0,0.0,0.0,0.0,0,41,15,6,B5,B,5,2
10,297,84,28.2828282828,2.22619047619,18,2.25,19,2.25,19,2.25,19,0.0238095238095,1,3.27380952381,8,0.986842105263,82,2,0.0131578947368,1.0,0.047619047619,2,55,20,9,B5,B,5,2
11,325,107,32.9230769231,2.42990654206,18,2.4953271028,19,2.4953271028,19,2.4953271028,19,0.0654205607476,1,3.64485981308,8,0.959314173283,100,7,0.0406858267164,1.0,0.130841121495,2,62,36,9,B5,B,5,2
12,340,124,36.4705882353,2.67741935484,25,2.8064516129,27,2.8064516129,27,2.8064516129,27,0.104838709677,1,4.01612903226,8,0.929956156711,111,13,0.0700438432885,1.0,0.258064516129,4,61,52,11,B5,B,5,2
13,340,133,39.1176470588,3.06015037594,36,3.23308270677,41,3.23308270677,41,3.21804511278,40,0.0977443609023,1,4.52631578947,10,0.921194338395,120,13,0.0788056616042,1.0,0.315789473684,8,51,66,16,B5,B,5,2
14,325,134,41.2307692308,3.41791044776,48,3.67164179105,56,3.67164179105,56,3.64179104477,54,0.111940298507,1,4.81343283582,10,0.913717128642,119,15,0.0862828713575,1.0,0.44776119403,12,50,61,23,B5,B,5,2
15,297,128,43.0976430976,4.03125,101,4.484375,140,4.484375,140,4.34375,122,0.1171875,2,5.28125,12,0.921465773809,114,14,0.0787574404762,1.0,0.625,42,54,43,31,B5,B,5,2
16,259,117,45.1737451737,4.06837606838,24,4.37606837607,26,4.37606837607,26,4.37606837607,26,0.17094017094,1,5.38461538462,10,0.925598444662,97,20,0.074401555338,1.0,0.615384615385,10,58,29,30,B5,B,5,2
17,215,105,48.8372093023,4.29523809524,33,4.68571428571,34,4.68571428571,34,4.67619047619,34,0.180952380952,2,5.41904761905,12,0.919488441841,87,18,0.0824163200634,1.0,0.761904761905,10,56,24,25,B5,B,5,2
18,169,90,53.2544378698,4.3,45,4.73333333333,51,4.73333333333,51,4.68888888889,50,0.166666666667,2,5.52222222222,12,0.904829810713,77,13,0.0988738929914,1.0,0.777777777777,12,40,33,17,B5,B,5,2
19,125,65,52.0,4.27692307693,67,4.87692307692,87,4.87692307692,87,4.76923076923,81,0.215384615385,2,5.72307692307,14,0.855046601916,53,12,0.147230144326,1.0,0.984615384616,28,23,28,14,B5,B,5,2
20,86,40,46.511627907,3.8,20,4.0,21,4.0,21,4.0,21,0.2,1,5.9,12,0.845238095239,32,8,0.154761904762,1.0,0.4,2,10,22,8,B5,B,5,2
21,54,24,44.4444444444,3.58333333333,29,3.70833333333,30,3.70833333333,30,3.70833333333,30,0.125,1,5.25,14,0.913888888889,21,3,0.0861111111111,1.0,0.25,2,11,8,5,B5,B,5,2
22,30,15,50.0,2.26666666667,9,2.26666666667,9,2.26666666667,9,2.26666666667,9,0.0,0,4.26666666667,12,1.0,15,0,0.0,0.0,0.0,0,12,1,2,B5,B,5,2
23,14,9,64.2857142857,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,3.55555555555,6,1.0,9,0,0.0,0.0,0.0,0,9,0,0,B5,B,5,2
24,5,4,80.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,5.0,8,1.0,4,0,0.0,0.0,0.0,0,4,0,0,B5,B,5,2
25,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B5,B,5,2
0,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,2
1,6,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,2
2,20,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,2
3,50,1,2.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,1,0,0.0,0.0,0.0,0,1,0,0,B6,B,6,2
4,104,5,4.8076923077,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,5,0,0.0,0.0,0.0,0,5,0,0,B6,B,6,2
5,190,15,7.89473684211,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,15,0,0.0,0.0,0.0,0,15,0,0,B6,B,6,2
6,315,34,10.7936507937,1.11764705882,4,1.11764705882,4,1.11764705882,4,1.11764705882,4,0.0,0,2.11764705883,4,1.0,34,0,0.0,0.0,0.0,0,32,2,0,B6,B,6,2
7,484,66,13.6363636364,1.25757575758,4,1.25757575758,4,1.25757575758,4,1.25757575758,4,0.0,0,2.27272727273,4,1.0,66,0,0.0,0.0,0.0,0,57,9,0,B6,B,6,2
8,699,114,16.3090128755,1.44736842105,6,1.44736842105,6,1.44736842105,6,1.44736842105,6,0.0,0,2.47368421053,6,1.0,114,0,0.0,0.0,0.0,0,90,22,2,B6,B,6,2
9,958,181,18.8935281837,1.66298342541,7,1.66298342541,7,1.66298342541,7,1.66298342541,7,0.0,0,2.69613259668,6,1.0,181,0,0.0,0.0,0.0,0,132,41,8,B6,B,6,2
10,1255,272,21.6733067729,1.91544117647,18,1.92279411765,19,1.92279411765,19,1.92279411765,19,0.00735294117647,1,2.94485294117,8,0.995936532508,270,2,0.00406346749226,1.0,0.0147058823529,2,187,66,19,B6,B,6,2
11,1580,391,24.746835443,2.1841432225,18,2.20716112532,19,2.20716112532,19,2.20716112532,19,0.0230179028133,1,3.24552429668,8,0.986039266965,382,9,0.0139607330346,1.0,0.0460358056266,2,250,106,35,B6,B,6,2
12,1919,535,27.8791036998,2.45607476636,25,2.50841121495,27,2.50841121495,27,2.50841121495,27,0.0467289719626,1,3.55514018692,8,0.971229526197,510,25,0.0287704738039,1.0,0.104672897196,4,312,174,49,B6,B,6,2
13,2254,698,30.9671694765,2.81805157593,36,2.90687679083,41,2.90687679083,41,2.90401146132,40,0.0659025787966,1,3.93982808023,10,0.956529294492,652,46,0.0434707055082,1.0,0.171919770774,8,358,265,75,B6,B,6,2
14,2565,869,33.8791423002,3.16340621404,48,3.31070195627,56,3.31070195627,56,3.30149597238,54,0.0817031070195,1,4.28998849252,10,0.942941441771,798,71,0.0570585582285,1.0,0.276179516686,12,396,357,116,B6,B,6,2
15,2832,1035,36.5466101695,3.66376811594,101,3.89178743961,140,3.89178743961,140,3.85700483092,122,0.0946859903381,2,4.74685990338,12,0.933872419929,938,97,0.0661551853162,1.0,0.386473429952,42,427,442,166,B6,B,6,2
16,3037,1183,38.9529140599,4.19019442096,101,4.52916314455,140,4.52916314455,140,4.46830092984,122,0.115807269653,2,5.15046491969,12,0.927777106627,1048,135,0.0722711967175,1.0,0.556213017751,42,455,486,242,B6,B,6,2
17,3166,1308,41.3139608339,4.7622324159,143,5.23853211009,199,5.23853211009,199,5.13379204893,173,0.139908256881,2,5.5626911315,14,0.922704978793,1130,178,0.0775310287318,1.0,0.743119266055,60,505,482,321,B6,B,6,2
18,3210,1417,44.1433021807,5.43472124206,201,6.08821453775,306,6.08821453775,306,5.92307692308,249,0.164431898377,2,5.96753705011,14,0.920243020204,1194,223,0.0803968033663,1.0,0.990825688074,106,552,445,420,B6,B,6,2
19,3166,1484,46.8730259002,5.97641509434,279,6.82681940701,469,6.82681940701,469,6.61118598383,357,0.19204851752,2,6.23921832884,16,0.91149154205,1214,270,0.08961603157,1.0,1.29380053908,174,577,475,432,B6,B,6,2
20,3037,1501,49.4237734607,6.71152564957,396,7.83077948035,697,7.83077948035,697,7.49700199866,511,0.20253164557,2,6.63024650233,16,0.907742456282,1222,279,0.0945113826326,1.33333333333,1.6109260493,260,539,528,434,B6,B,6,2
21,2832,1461,51.5889830508,7.38535249829,733,9.02737850788,1701,9.02737850788,1701,8.41683778234,1026,0.232032854209,3,6.87405886379,18,0.895712246602,1158,303,0.107468189755,1.33333333333,2.2135523614,800,486,551,424,B6,B,6,2
22,2565,1373,53.5282651072,7.94173343045,150,9.44646758922,223,9.44646758922,223,9.0225782957,188,0.256372906045,3,7.2097596504,16,0.888356164983,1078,295,0.116961223763,1.33333333333,2.17042971595,76,436,513,424,B6,B,6,2
23,2254,1236,54.8358473824,8.64482200648,210,10.6221682848,321,10.6221682848,321,9.97653721683,267,0.283171521035,3,7.51213592233,16,0.876149960902,942,294,0.129726890767,1.33333333333,2.73300970874,126,380,449,407,B6,B,6,2
24,1919,1072,55.8624283481,9.25839552238,304,11.6296641791,551,11.6296641791,551,10.7192164179,415,0.300373134328,3,7.87779850746,18,0.873802550578,805,267,0.133110012929,1.33333333333,3.03731343284,246,342,339,391,B6,B,6,2
25,1580,887,56.1392405063,9.56820744081,428,12.4193912063,839,12.4193912063,839,11.2593010147,586,0.30214205186,3,8.09131905298,18,0.873613757619,667,220,0.132903598534,1.33333333333,3.68207440812,384,296,242,349,B6,B,6,2
26,1255,704,56.0956175299,9.56534090909,606,12.4744318182,1334,12.4744318182,1334,11.2102272727,827,0.309659090909,3,8.27556818182,20,0.882813325384,530,174,0.124289440766,1.33333333333,3.60511363636,596,249,185,270,B6,B,6,2
27,958,541,56.4718162839,8.74121996303,159,10.8946395564,249,10.8946395564,249,10.1959334566,194,0.306839186691,3,8.30314232902,20,0.887146804342,411,130,0.121489193933,1.12781954887,3.11275415896,150,189,157,195,B6,B,6,2
28,699,399,57.0815450644,8.43358395989,221,10.5789473684,369,10.5789473684,369,9.79699248121,278,0.278195488722,3,8.29072681704,20,0.885135251994,312,87,0.124441602081,1.0,2.89724310777,148,133,137,129,B6,B,6,2
29,484,273,56.4049586777,7.72161172161,357,9.78388278389,670,9.78388278389,670,8.95604395604,478,0.249084249084,3,8.24542124542,22,0.866346959262,217,56,0.140078972705,1.0,2.76923076923,324,83,100,90,B6,B,6,2
30,315,169,53.6507936508,6.15976331361,119,7.03550295858,143,7.03550295858,143,6.88165680473,137,0.242603550296,2,7.89940828402,20,0.854830445831,133,36,0.148113201145,1.0,1.44378698225,66,56,66,47,B6,B,6,2
31,190,98,51.5789473684,4.65306122449,32,4.85714285714,33,4.85714285714,33,4.85714285714,33,0.19387755102,1,6.9081632653,18,0.880786730276,79,19,0.119213269724,1.0,0.408163265306,4,42,34,22,B6,B,6,2
32,104,54,51.9230769231,3.66666666667,43,3.77777777778,44,3.77777777778,44,3.77777777778,44,0.111111111111,1,5.61111111111,20,0.940824915825,48,6,0.0591750841751,1.0,0.222222222222,2,34,11,9,B6,B,6,2
33,50,29,58.0,1.93103448276,9,1.93103448276,9,1.93103448276,9,1.93103448276,9,0.0,0,4.62068965517,16,1.0,29,0,0.0,0.0,0.0,0,25,1,3,B6,B,6,2
34,20,14,70.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,4.28571428572,8,1.0,14,0,0.0,0.0,0.0,0,14,0,0,B6,B,6,2
35,6,5,83.3333333334,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,6.0,10,1.0,5,0,0.0,0.0,0.0,0,5,0,0,B6,B,6,2
36,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,2
0,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
1,6,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
2,20,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
3,50,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
4,104,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
5,190,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
6,315,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
7,484,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
8,699,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
9,958,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
10,1255,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
11,1580,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
12,1919,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
13,2254,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
14,2565,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B6,B,6,3
