ell,total,changed,percentage_changed,type,family,rank,prime,source
7,28,1,3.57142857143,D4,D,4,2,percentage
8,23,2,8.69565217392,D4,D,4,2,percentage
9,16,1,6.25,D4,D,4,2,percentage
10,9,0,0.0,D4,D,4,2,percentage
11,4,0,0.0,D4,D,4,2,percentage
12,1,0,0.0,D4,D,4,2,percentage
0,1,0,0.0,D5,D,5,2,percentage
1,5,0,0.0,D5,D,5,2,percentage
2,14,0,0.0,D5,D,5,2,percentage
3,30,0,0.0,D5,D,5,2,percentage
4,54,0,0.0,D5,D,5,2,percentage
5,85,0,0.0,D5,D,5,2,percentage
6,120,0,0.0,D5,D,5,2,percentage
7,155,1,0.645161290323,D5,D,5,2,percentage
8,185,4,2.16216216216,D5,D,5,2,percentage
9,205,8,3.90243902439,D5,D,5,2,percentage
10,212,10,4.71698113208,D5,D,5,2,percentage
11,205,14,6.82926829268,D5,D,5,2,percentage
12,185,14,7.56756756757,D5,D,5,2,percentage
13,155,11,7.09677419355,D5,D,5,2,percentage
14,120,8,6.66666666666,D5,D,5,2,percentage
15,85,9,10.5882352941,D5,D,5,2,percentage
16,54,6,11.1111111111,D5,D,5,2,percentage
17,30,2,6.66666666666,D5,D,5,2,percentage
18,14,0,0.0,D5,D,5,2,percentage
19,5,0,0.0,D5,D,5,2,percentage
20,1,0,0.0,D5,D,5,2,percentage
0,1,0,0.0,D6,D,6,2,percentage
1,6,0,0.0,D6,D,6,2,percentage
2,20,0,0.0,D6,D,6,2,percentage
3,50,0,0.0,D6,D,6,2,percentage
4,104,0,0.0,D6,D,6,2,percentage
5,190,0,0.0,D6,D,6,2,percentage
6,314,0,0.0,D6,D,6,2,percentage
7,478,1,0.209205020921,D6,D,6,2,percentage
8,679,5,0.736377025037,D6,D,6,2,percentage
9,908,14,1.54185022026,D6,D,6,2,percentage
10,1151,28,2.43266724587,D6,D,6,2,percentage
11,1390,51,3.6690647482,D6,D,6,2,percentage
12,1605,79,4.92211838006,D6,D,6,2,percentage
13,1776,109,6.13738738739,D6,D,6,2,percentage
14,1886,131,6.94591728526,D6,D,6,2,percentage
15,1924,152,7.90020790021,D6,D,6,2,percentage
16,1886,171,9.06680805939,D6,D,6,2,percentage
17,1776,208,11.7117117117,D6,D,6,2,percentage
18,1605,206,12.8348909657,D6,D,6,2,percentage
19,1390,193,13.8848920863,D6,D,6,2,percentage
20,1151,174,15.1172893136,D6,D,6,2,percentage
21,908,131,14.4273127753,D6,D,6,2,percentage
22,679,77,11.3402061856,D6,D,6,2,percentage
23,478,47,9.83263598326,D6,D,6,2,percentage
24,314,34,10.8280254777,D6,D,6,2,percentage
25,190,23,12.1052631579,D6,D,6,2,percentage
26,104,11,10.5769230769,D6,D,6,2,percentage
27,50,3,6.0,D6,D,6,2,percentage
28,20,0,0.0,D6,D,6,2,percentage
29,6,0,0.0,D6,D,6,2,percentage
30,1,0,0.0,D6,D,6,2,percentage
0,1,0,0.0,D6,D,6,3,percentage
1,6,0,0.0,D6,D,6,3,percentage
2,20,0,0.0,D6,D,6,3,percentage
3,50,0,0.0,D6,D,6,3,percentage
4,104,0,0.0,D6,D,6,3,percentage
5,190,0,0.0,D6,D,6,3,percentage
6,314,0,0.0,D6,D,6,3,percentage
7,478,0,0.0,D6,D,6,3,percentage
8,679,0,0.0,D6,D,6,3,percentage
9,908,0,0.0,D6,D,6,3,percentage
10,1151,0,0.0,D6,D,6,3,percentage
11,1390,0,0.0,D6,D,6,3,percentage
12,1605,0,0.0,D6,D,6,3,percentage
13,1776,0,0.0,D6,D,6,3,percentage
14,1886,0,0.0,D6,D,6,3,percentage
15,1924,0,0.0,D6,D,6,3,percentage
16,1886,0,0.0,D6,D,6,3,percentage
17,1776,0,0.0,D6,D,6,3,percentage
18,1605,0,0.0,D6,D,6,3,percentage
19,1390,1,0.0719424460432,D6,D,6,3,percentage
20,1151,2,0.173761946134,D6,D,6,3,percentage
21,908,1,0.11013215859,D6,D,6,3,percentage
22,679,0,0.0,D6,D,6,3,percentage
23,478,0,0.0,D6,D,6,3,percentage
24,314,0,0.0,D6,D,6,3,percentage
25,190,0,0.0,D6,D,6,3,percentage
26,104,0,0.0,D6,D,6,3,percentage
27,50,0,0.0,D6,D,6,3,percentage
28,20,0,0.0,D6,D,6,3,percentage
29,6,0,0.0,D6,D,6,3,percentage
30,1,0,0.0,D6,D,6,3,percentage
0,1,0,0.0,E6,E,6,2,percentage
1,6,0,0.0,E6,E,6,2,percentage
2,20,0,0.0,E6,E,6,2,percentage
3,50,0,0.0,E6,E,6,2,percentage
4,105,0,0.0,E6,E,6,2,percentage
5,195,0,0.0,E6,E,6,2,percentage
6,329,0,0.0,E6,E,6,2,percentage
7,514,1,0.194552529183,E6,E,6,2,percentage
8,754,6,0.79575596817,E6,E,6,2,percentage
9,1048,19,1.81297709924,E6,E,6,2,percentage
10,1389,40,2.87976961843,E6,E,6,2,percentage
11,1765,73,4.13597733711,E6,E,6,2,percentage
12,2159,118,5.46549328393,E6,E,6,2,percentage
13,2549,201,7.88544527266,E6,E,6,2,percentage
14,2911,258,8.86293369975,E6,E,6,2,percentage
15,3222,347,10.7697082557,E6,E,6,2,percentage
16,3461,436,12.597515169,E6,E,6,2,percentage
17,3611,516,14.2896704514,E6,E,6,2,percentage
18,3662,562,15.3468050246,E6,E,6,2,percentage
19,3611,657,18.1944059817,E6,E,6,2,percentage
20,3461,720,20.8032360589,E6,E,6,2,percentage
21,3222,792,24.5810055866,E6,E,6,2,percentage
22,2911,781,26.8292682927,E6,E,6,2,percentage
23,2549,726,28.481757552,E6,E,6,2,percentage
24,2159,583,27.0032422418,E6,E,6,2,percentage
25,1765,451,25.552407932,E6,E,6,2,percentage
26,1389,336,24.1900647948,E6,E,6,2,percentage
27,1048,246,23.4732824427,E6,E,6,2,percentage
28,754,159,21.0875331565,E6,E,6,2,percentage
29,514,92,17.8988326848,E6,E,6,2,percentage
30,329,57,17.3252279635,E6,E,6,2,percentage
31,195,41,21.0256410257,E6,E,6,2,percentage
32,105,20,19.0476190476,E6,E,6,2,percentage
33,50,5,10.0,E6,E,6,2,percentage
34,20,0,0.0,E6,E,6,2,percentage
35,6,0,0.0,E6,E,6,2,percentage
36,1,0,0.0,E6,E,6,2,percentage
0,1,0,0.0,E6,E,6,3,percentage
1,6,0,0.0,E6,E,6,3,percentage
2,20,0,0.0,E6,E,6,3,percentage
3,50,0,0.0,E6,E,6,3,percentage
4,105,0,0.0,E6,E,6,3,percentage
5,195,0,0.0,E6,E,6,3,percentage
6,329,0,0.0,E6,E,6,3,percentage
7,514,0,0.0,E6,E,6,3,percentage
8,754,0,0.0,E6,E,6,3,percentage
9,1048,0,0.0,E6,E,6,3,percentage
10,1389,0,0.0,E6,E,6,3,percentage
11,1765,0,0.0,E6,E,6,3,percentage
12,2159,0,0.0,E6,E,6,3,percentage
13,2549,4,0.156924284033,E6,E,6,3,percentage
